filename,upernet_precision,upernet_recall,upernet_f1,auraseg_precision,auraseg_recall,auraseg_f1
scene18_0055.png,1.0,0.5319524019391803,0.6944764096662831,1.0,0.5310709563684443,0.6937248128957975
scene18_0062.png,0.9842788790157211,0.5861262665627436,0.7347297686057178,0.9603011635865846,0.5740452065471551,0.7185551978729349
scene18_0073.png,1.0,0.6392762909913305,0.7799494136583123,1.0,0.6392762909913305,0.7799494136583123
scene18_0087.png,1.0,0.6028951486697965,0.7522577495728582,1.0,0.6028951486697965,0.7522577495728582
scene18_0092.png,1.0,0.5568268497330282,0.7153356197942186,1.0,0.5564454614797865,0.7150208282283754
scene18_0096.png,0.9964328180737217,0.6966292134831461,0.8199867428427133,1.0,0.6962279293739968,0.8209131771942276
scene18_0100.png,0.9930835734870317,0.6116402116402117,0.757027287429235,1.0,0.6116402116402117,0.7590282337491793
scene18_0102.png,0.9966078697421981,0.584012417539775,0.736459447003764,1.0,0.5832363213038417,0.736764705882353
scene18_0114.png,0.9816106531388713,0.6331337325349301,0.7697699056665595,0.9854338188727042,0.6335329341317365,0.7712385415012337
scene18_0132.png,1.0,0.6738197424892703,0.805128205128205,1.0,0.6738197424892703,0.805128205128205
scene18_0139.png,0.9919254658385093,0.5790366350067843,0.731222202760485,0.9987608426270136,0.5848032564450475,0.7376759722203051
scene19_0058.png,1.0,0.6822469982847341,0.8111139434106551,1.0,0.6861063464837049,0.8138351983723295
scene19_0092.png,1.0,0.6973528249703674,0.8216945996275604,1.0,0.6985381272224417,0.8225168643870668
scene19_0108.png,1.0,0.5945017182130584,0.7456896551724137,1.0,0.5945017182130584,0.7456896551724137
scene19_0119.png,1.0,0.8857287963433215,0.9394021007271748,0.9994011976047904,0.8857287963433215,0.9391378023376037
scene19_0122.png,0.9989165763813651,0.7390804597701149,0.849575352762088,0.9994629430719656,0.7394636015325671,0.8500260919881621
scene19_0124.png,1.0,0.7799855491329479,0.8763953724375888,1.0,0.7799855491329479,0.8763953724375888
scene19_0130.png,0.9970267591674926,0.7615471273000376,0.8635211407698674,1.0,0.7619226436349982,0.8648763853367434
scene19_0144.png,1.0,0.7134959349593496,0.832795596887455,1.0,0.7134959349593496,0.832795596887455
scene19_0150.png,1.0,0.5795121951219512,0.733786287831995,0.999421965317919,0.5785365853658536,0.732848363987899
scene20_0033.png,0.2783119658119658,0.20763917106867127,0.23783652920595347,0.2799470549305096,0.16741162129215767,0.20952489728199286
scene20_0069.png,0.9913378248315688,0.7107577807848444,0.8279218512290203,0.9980787704130644,0.7138024357239513,0.8323370276058631
scene20_0076.png,1.0,0.6657084188911704,0.79930966469428,1.0,0.6480492813141684,0.7864440568153501
